Authors,Year,Source title,Abstract
"Kaminsky G.L., Reinhart C.M.",1999,American Economic Review,"In the wake of the Mexican and Asian currency turmoil, the subject of financial crises has come to the forefront of academic and policy discussions. This paper analyzes the links between banking and currency crises. We find that: problems in the banking sector typically precede a currency crisis - the currency crisis deepens the banking crisis, activating a vicious spiral; financial liberalization often precedes banking crises. The anatomy of these episodes suggests that crises occur as the economy enters a recession, following a prolonged boom in economic activity that was fueled by credit, capital inflows, and accompanied by an overvalued currency."
"Blanchard O.J., Quah D.",1989,American Economic Review,"We interpret fluctuations in GNP and unemployment as due to two types of disturbances: disturbances that have a permanent effect on output and distur- bances that do not. We interpret the first as supply disturbances, the second as demand disturbances. Demand disturbances have a hump-shaped mirror-image effect on output and unemployment. The effect of supply disturbances on output increases steadily over time, peaking after two years and reaching a plateau after five years."
"Smets F., Wouters R.",2007,American Economic Review,"Using a Bayesian likelihood approach, we estimate a dynamic stochastic general equilibrium model for the US economy using seven macroeconomic time series. The model incorporates many types of real and nominal frictions and seven types of structural shocks. We show that this model is able to compete with Bayesian Vector Autoregression models in out-of-sample prediction. We investigate the relative empirical importance of the various frictions. Finally, using the estimated model, we address a number of key issues in business cycle analysis: What are the sources of business cycle fluctuations? Can the model explain the cross correlation between output and inflation? What are the effects of productivity on hours worked? What are the sources of the ""Great Moderation""?"
"Aitken B.J., Harrison A.E.",1999,American Economic Review,"Governments often promote inward foreign investment to encourage technology ""spillovers"" from foreign to domestic firms. Using panel data on Venezuelan plants, we find that foreign equity participation is positively correlated with plant productivity (the ""own-plant"" effect), but this relationship is only robust for small enterprises. We then test for spillovers from joint ventures to plants with no foreign investment. Foreign investment negatively affects the productivity of domestically owned plants. The net impact of foreign investment, taking into account these two offsetting effects, is quite small. The gains from foreign investment appear to be entirely captured by joint ventures."
"Burnside C., Dollar D.",2000,American Economic Review,"This paper uses a new database on foreign aid to examine the relationships among foreign aid, economic policies, and growth of per capita GDP. We find that aid has a positive impact on growth in developing countries with good fiscal, monetary, and trade policies but has little effect in the presence of poor policies. Good policies are ones that are themselves important for growth. The quality of policy has only a small impact on the allocation of aid. Our results suggest that aid would be more effective if it were more systematically conditioned on good policy. (JEL F350, O230, O400)."
North D.C.,1994,American Economic Review,This essay is about institutions and time. It does not provide a theory of economic dynamics comparable to general equilibrium theory. Rather it provides the initial scaffolding of an analytical framework capable of increasing our understanding of the historical evolution of economies and a necessarily crude guide to policy in the ongoing task of improving the economic performance of economies. The analytical framework is a modification of neoclassical theory. What it retains is the fundamental assumption of scarcity and hence competition and the analytical tools of microeconomic theory. What it modifies is the rationality assumption. What it adds is the dimension of time. -from Author
"Persson T., Tabellini G.",1994,American Economic Review,"Is inequality harmful for growth? We suggest that it is. In a society where distributional conflict is important, political decisions produce economic policies that are investment and growth-promoting activities in order to redistribute income. The paper formulates a theoretical model that captures this idea. The model's implications are supported by the evidence. Both historical panel data and postwar cross sections indicate a significant and large negative relation between inequality and growth. This relation is only present in democracies. -Authors"
"Ichniowski C., Shaw K., Prennushi G.",1997,American Economic Review,"We investigate the productivity effects of innovative employment practices using data from a sample of 36 homogeneous steel production lines owned by 17 companies. The productivity regressions demonstrate that lines using a set of innovative work practices, which include incentive pay, teams, flexible job assignments, employment security, and training, achieve substantially higher levels of productivity than do lines with the more traditional approach, which includes narrow job definitions, strict work rules, and hourly pay with close supervision. Our results are consistent with recent theoretical models which stress the importance of complementarities among work practices."
Javorcik B.S.,2004,American Economic Review,"Many countries strive to attract foreign direct investment (FDI) hoping that knowledge brought by multinationals will spill over to domestic industries and increase their productivity. In contrast with earlier literature that failed to find positive intraindustry spillovers from FDI, this study focuses on effects operating across industries. The analysis, based on firm-level data from Lithuania, produces evidence consistent with positive productivity spillovers from FDI taking place through contacts between foreign affiliates and their local suppliers in upstream sectors. The data indicate that spillovers are associated with projects with shared domestic and foreign ownership but not with fully owned foreign investments."
"Bernanke B.S., Blinder A.S.",1992,American Economic Review,"We show that the interest rate on Federal funds is extremely informative about future movements of real macroeconomic variables. Then we argue that the reason for this forecasting success is that the funds rate sensitively records shocks to the supply of bank reserves; that is, the funds rate is a good indicator of monetary policy actions. Finally, using innovations to the funds rate as a measure of changes in policy, we present evidence consistent with the view that monetary policy works at least in part through ""credit"" (i.e., bank loans) as well as through ""money"" (i.e., bank deposits). (JEL E52)."
"Scharfstein D.S., Stein J.C.",1990,American Economic Review,"This paper examines some of the forces that can lead to herd behavior in investment. Under certain circumstances, managers simply mimic the investment decisions of other managers, ignoring substantive private information. Although this behavior is inefficient from a social standpoint, it can be rational from the perspective of managers who are concerned about their reputations in the labor market. We discuss applications of the model to corporate investment, the stockmarket, and decision making within firms. -Authors"
"O'Donoghue T., Rabin M.",1999,American Economic Review,"We examine self-control problems - modeled as time-inconsistent, present-biased preferences - in a model where a person must do an activity exactly once. We emphasize two distinctions: Do activities involve immediate costs or immediate rewards, and are people sophisticated or naive about future self-control problems? Naive people procrastinate immediate-cost activities and preproperate - do too soon - immediate-reward activities. Sophistication mitigates procrastination, but exacerbates preproperation. Moreover, with immediate costs, a small present bias can severely harm only naive people, whereas with immediate rewards it can severely harm only sophisticated people. Lessons for savings, addiction, and elsewhere are discussed."
Klepper S.,1996,American Economic Review,"Regularities concerning how entry, exit, market structure, and innovation vary from the birth of technologically progressive industries through maturity are summarized. A model emphasizing differences infirm innovative capabilities and the importance of firm size in appropriating the returns from innovation is developed to explain the regularities. The model also explains regularities regarding the relationship within industries between firm size and firm innovative effort, innovative productivity, cost, and profitability. It predicts that over time firms devote more effort to process innovation but the number of firms and the rate and diversity of product innovation eventually wither."
"Abadie A., Gardeazabal J.",2003,American Economic Review,"This article investigates the economic effects of conflict, using the terrorist conflict in the Basque Country as a case study. We find that, after the outbreak of terrorism in the late 1960's, per capita GDP in the Basque Country declined about 10 percentage points relative to a synthetic control region without terrorism. In addition, we use the 1998-1999 truce as a natural experiment. We find that stocks of firms with a significant part of their business in the Basque Country showed a positive relative performance when truce became credible, and a negative relative performance at the end of the cease-fire."
"Ciccone A., Hall R.E.",1996,American Economic Review,To explain the large differences in labor productivity across U.S. states we estimate two models-one based on local geographical externalities and the other on the diversity of local intermediate services-where spatial density results in aggregate increasing returns. Both models lead to a relation between county employment density and productivity at the state level. Using data on gross state output we find that a doubling of employment density increases average labor productivity by around 6 percent. More than half of the variance of output per worker across states can be explained by differences in the density of economic activity.
"Bénabou R., Tirole J.",2006,American Economic Review,"We develop a theory of prosocial behavior that combines heterogeneity in individual altruism and greed with concerns for social reputation or self-respect. Rewards or punishments (whether material or image-related) create doubt about the true motive for which good deeds are performed, and this ""overjustification effect"" can induce a partial or even net crowding out of prosocial behavior by extrinsic incentives. We also identify the settings that are conducive to multiple social norms and, more generally, those that make individual actions complements or substitutes, which we show depends on whether stigma or honor is (endogenously) the dominant reputational concern. Finally, we analyze the socially optimal level of incentives and how monopolistic or competitive sponsors depart from it. Sponsor competition is shown to potentially reduce social welfare."
"Manning W.G., Newhouse J.P., Duan N., Keeler E.B., Leibowitz A., Marquis M.S.",1987,American Economic Review,"We estimate how cost sharing, the portion of the bill the patient pays, affects the demand for medical services. The data come from a randomized experiment. A catastrophic insurance plan reduces expenditures 31 percent relative to zero out-of-pocket price. The price elasticity is approximately -0.2. We reject the hypothesis that less favorable coverage of outpatient services increases total expenditure (for example, by deterring preventive care or inducing hospitalization)."
"Hermalin B.E., Weisbach M.S.",1998,American Economic Review,"How can boards be chosen through a process partially controlled by the CEO, yet, in many instances, still be effective monitors of him? We offer an answer based on a model in which board effectiveness is a function of its independence. This, in turn, is a function of negotiations (implicit or explicit) between existing directors and the CEO over who will fill vacancies on the board. The CEO's bargaining power over the board-selection process comes from his perceived ability relative to potential successors. Many empirical findings about board structure and performance arise as equilibrium phenomena of this model."
"Card D., Krueger A.B.",1994,American Economic Review,"On April 1, 1992, New Jersey's minimum wage rose from $4.25 to $5.05 per hour. To evaluate the impact of the law we surveyed 410 fast-food restaurants in New Jersey and eastern Pennsylvania before and after the rise. Comparisons of employment growth at stores in New Jersey and Pennsylvania (where the minimum wage was constant) provide simple estimates of the effect of the higher minimum wage. The authors compare employment changes at stores in New Jersey that were initially paying high wages (above $5) to the changes at lower-wage stores. The authors find no indication that the rise in the minimum wage reduced employment. -Authors"
"Feenstra R.C., Inklaar R., Timmer M.P.",2015,American Economic Review,"We describe the theory and practice of real GDP comparisons across countries and over time. Version 8 of the Penn World Table expands on previous versions in three respects. First, in addition to comparisons of living standards using components of real GDP on the expenditure side, we provide a measure of productive capacity, called real GDP on the output side. Second, growth rates are benchmarked to multiple years of cross-country price data so they are less sensitive to new benchmark data. Third, data on capital stocks and productivity are (re)introduced. Applications including the Balassa-Samuelson effect and development accounting are discussed."
"Antweiler W., Copeland B.R., Taylor M.S.",2001,American Economic Review,"This paper investigates how openness to international goods markets affects pollution concentrations. We develop a theoretical model to divide trade's impact on pollution into scale, technique, and composition effects and then examine this theory using data on sulfur dioxide concentrations. We find international trade creates relatively small changes in pollution concentrations when it alters the composition of national output. Estimates of the trade-induced technique and scale effects imply a net reduction in pollution from these sources. Combining our estimates of all three effects yields a somewhat surprising conclusion: freer trade appears to be good for the environment."
"Bernard A.B., Eaton J., Jensen J.B., Kortum S.",2003,American Economic Review,"We reconcile trade theory with plant-level export behavior, extending the Ricardian model to accommodate many countries, geographic barriers, and imperfect competition. Our model captures qualitatively basic facts about U.S. plants: (i) productivity dispersion, (ii) higher productivity among exporters, (iii) the small fraction who export, (iv) the small fraction earned from exports among exporting plants, and (v) the size advantage of exporters. Fitting the model to bilateral trade among the United States and 46 major trade partners, we examine the impact of globalization and dollar appreciation on productivity, plant entry and exit, and labor turnover in U.S. manufacturing."
Keeley M.C.,1990,American Economic Review,"A fixed-rate deposit insurance system provides a moral hazard for excessive risk taking and is not viable absent regulation. Although the deposit insurance system appears to have worked remarkably well over most of its S0-year history, major problems began to appear in the early 1980's. This paper tests the hypothesis that increases in competition caused bank charter values to decline, which in turn caused banks to increase default risk through increases in asset risk and reductions in capital. (JEL 600)."
"Erev I., Roth A.E.",1998,American Economic Review,"We examine learning in all experiments we could locate involving 100 periods or more of games with a unique equilibrium in mixed strategies, and in a new experiment. We study both the ex post (""best fit"") descriptive power of learning models, and their ex ante predictive power, by simulating each experiment using parameters estimated from the other experiments. Even a one-parameter reinforcement learning model robustly outperforms the equilibrium predictions. Predictive power is improved by adding ""forgetting"" and ""experimentation,"" or by allowing greater rationality as in probabilistic fictitious play. Implications for developing a low-rationality, cognitive game theory are discussed."
Lucas Jr R.E.,1990,American Economic Review,"The egalitarian predictions of the simplest neoclassical models of trade and growth are well known and easy to explain, as they follow from entirely standard assumptions on technology alone. We do see some investment by wealthy countries in poorer ones, but an example with some rough numbers will help to make clear just how far the capital flows we observe fall short of the flows predicted by such theories. If this model were anywhere close to being accurate, and if world capital markets were anywhere close to being free and complete, it is clear that, in the face of return differentials of this magnitude, investment goods would flow rapidly from the US and other wealthy countries to India and other poor countries. -from Author"
"Guiso L., Sapienza P., Zingales L.",2004,American Economic Review,"To identify the effect of social capital on financial development, we exploit social capital differences within Italy. In high-social-capital areas, households are more likely to use checks, invest less in cash and more in stock, have higher access to institutional credit, and make less use of informal credit. The effect of social capital is stronger where legal enforcement is weaker and among less educated people. These results are not driven by omitted environmental variables, since we show that the behavior of movers is still affected by the level of social capital of the province where they were born."
"Mendelsohn R., Nordhaus W.D., Shaw D.",1994,American Economic Review,"We measure the economic impact of climate on land prices. Using cross-sectional data on climate, farmland prices, and other economic and geophysical data for almost 3000 counties in the US, we find that higher temperatures in all seasons except autumn reduce average farm values, while more precipitation outside of autumn increases farm values. Applying the model to a global-warming scenario shows a significantly lower estimated impact of global warming on US agriculture than the traditional production-function approach and, in one case, suggests that, even without CO2 fertilization, global warming may have economic benefits for agriculture. -Authors"
"Galor O., Weil D.N.",2000,American Economic Review,"This paper develops a unified growth model that captures the historical evolution of population, technology, and output. It encompasses the endogenous transition between three regimes that have characterized economic development. The economy evolves from a Malthusian regime, where technological progress is slow and population growth prevents any sustained rise in income per capita, into a Post-Malthusian regime, where technological progress rises and population growth absorbs only part of output growth. Ultimately, a demographic transition reverses the positive relationship between income and population growth, and the economy enters a Modern Growth regime with reduced population growth and sustained income growth. (JEL J13, O11, O33, O40)."
"Case K.E., Shiller R.J.",1989,American Economic Review,"The market for single-family homes does not appear to be efficient. Year-to-year changes in prices tend to be followed by changes in the same direction in the subsequent year. Moreover, information about real interest rates does not appear to be incorporated in prices. There is thus a profitable trading rule for persons who are free to time the purchase of their homes. Still, overall, individual housing price changes are not very forecastable. -Authors"
"Cunha F., Heckman J.",2007,American Economic Review,"A technology of cognitive and noncognitive skill formation that features self-productivity, dynamic complementarity, and skill multipliers explains a variety of findings established in the child development and child intervention literatures. Although we have focused on cognitive and noncognitive skills, our analysis also applies to the formation of physical health capital (see Heckman 2007). The evidence on the importance of early childhood environments on adult health (David J. P. Barker 1998; and Anne Case, Angela Fertig, and Christina Paxson 2005) can be rationalized by our technology. Stocks of cognitive and noncognitive skills facilitate the accumulation of health capital through self-regulation and choices. Stocks of health skills also raise the productivity of schooling (Alok Bhargava 2008)."
"Autor D.H., Dorn D., Hanson G.H.",2013,American Economic Review,"We analyze the effect of rising Chinese import competition between 1990 and 2007 on US local labor markets, exploiting cross- market variation in import exposure stemming from initial differences in industry specialization and instrumenting for US imports using changes in Chinese imports by other high-income countries. Rising imports cause higher unemployment, lower labor force participation, and reduced wages in local labor markets that house importcompeting manufacturing industries. In our main specification, import competition explains one-quarter of the contemporaneous aggregate decline in US manufacturing employment. Transfer benefits payments for unemployment, disability, retirement, and healthcare also rise sharply in more trade-exposed labor markets."
Lazear E.P.,2000,American Economic Review,"Much of the theory in personnel economics relates to effects of monetary incentives on output, but the theory was untested because appropriate data were unavailable. A new data set for the Safelite Glass Corporation tests the predictions that average productivity will rise, the firm will attract a more able workforce, and variance in output across individuals at the firm will rise when it shifts to piece rates. In Safelite, productivity effects amount to a 44-percent increase in output per worker. This firm apparently had selected a suboptimal compensation system, as profits also increased with the change."
Shimer R.,2005,American Economic Review,"This paper argues that the textbook search and matching model cannot generate the observed business-cycle-frequency fluctuations in unemployment and job vacancies in response to shocks of a plausible magnitude. In the United States, the standard deviation of the vacancy-unemployment ratio is almost 20 times as large as the standard deviation of average labor productivity, while the search model predicts that the two variables should have nearly the same volatility. A shock that changes average labor productivity primarily alters the present value of wages, generating only a small movement along a downward-sloping Beveridge curve (unemployment-vacancy locus). A shock to the separation rate generates a counterfactually positive correlation between unemployment and vacancies. In both cases, the model exhibits virtually no propagation."
"Jacobson L.S., Lalonde R.J., Sullivan D.G.",1993,American Economic Review,"We exploit administrative data combining Pennsylvanian workers' earning histories with information about their firms to estimate the magnitude and temporal pattern of displaced worker's earnings losses. We find that high-tenure workers separating from distressed firms suffer long-term losses averaging 25% per year. We find that displaced workers' losses: begin mounting before their separations, depend only slightly on their age and sex, depend more on local labor-market conditions and their former indsutries, are not, however, limited to those in a few sectors, and are larger even for those who find new jobs in similar firms. -Authors"
Iacoviello M.,2005,American Economic Review,"I develop and estimate a monetary business cycle model with nominal loans and collateral constraints tied to housing values. Demand shocks move housing and nominal prices in the same direction, and are amplified and propagated over time. The financial accelerator is not uniform: nominal debt dampens supply shocks, stabilizing the economy under interest rate control. Structural estimation supports two key model features: collateral effects dramatically improve the response of aggregate demand to housing price shocks; and nominal debt improves the sluggish response of output to inflation surprises. Finally, policy evaluation considers the role of house prices and debt indexation in affecting monetary policy trade-offs."
"Edelman B., Ostrovsky M., Schwarz M.",2007,American Economic Review,"We investigate the ""generalized second-price"" (GSP) auction, a new mechanism used by search engines to sell online advertising. Although GSP looks similar to the Vickrey-Clarke-Groves (VCG) mechanism, its properties are very different. Unlike the VCG mechanism, GSP generally does not have an equilibrium in dominant strategies, and truth-telling is not an equilibrium of GSP. To analyze the properties of GSP, we describe the generalized English auction that corre-sponds to GSP and show that it has a unique equilibrium. This is an ex post equilibrium, with the same payoffs to all players as the dominant strategy equilibrium of VCG."
"Sala-i-Martin X., Doppelhofer G., Miller R.I.",2004,American Economic Review,"This paper examines the robustness of explanatory variables in cross-country economic growth regressions. It introduces and employs a novel approach, Bayesian Averaging of Classical Estimates (BACE), which constructs estimates by averaging OLS coefficients across models. The weights given to individual regressions have a Bayesian justification similar to the Schwarz model selection criterion. Of 67 explanatory variables we find 18 to be significantly and robustly partially correlated with long-term growth and another three variables to be marginally related. The strongest evidence is for the relative price of investment, primary school enrollment, and the initial level of real GDP per capita."
"Faccio M., Lang L.H.P., Young L.",2001,American Economic Review,"Whereas most U.S. corporations are widely held, the predominant form of ownership in East Asia is control by a family, which often supplies a top manager. These features of ""crony capitalism"" are actually more pronounced in Western Europe. In both regions, the salient agency problem is expropriation of outside shareholders by controlling shareholders. Dividends provide evidence on this. Group-affiliated corporations in Europe pay higher dividends than in Asia, dampening insider expropriation. Dividend rates are higher in Europe, but lower in Asia, when there are multiple large shareholders, suggesting that they dampen expropriation in Europe, but exacerbate it in Asia. (JEL G34, G35)."
"Roberts M.J., Tybout J.R.",1997,American Economic Review,"Recent theoretical models of entry predict that, in the presence of sunk costs, current market participation is affected by prior experience. This paper quantifies the effect of prior exporting experience on the decisions of Colombian manufacturing plants to participate in foreign markets. It develops a dynamic discrete-choice model of exporting behavior that separates the roles of profit heterogeneity and sunk entry costs in explaining plants' exporting status. Sunk costs are found to be significant, and prior export experience is shown to increase the probability of exporting by as much as 60 percentage points. (JEL F10, L10, C25)."
Yifu Lin J.,1992,American Economic Review,"This paper employs province-level panel data to assess the contributions of decollectivization, price adjustments, and other reforms to China's agricultural growth in the reform period. Decollectivization is found to improve total factor productivity and to account for about half of the output growth during 1978-1984. The adjustment in state procurement prices also contributed positively to output growth. Its impact came mainly from the responses in input use. The effect of other market-related reforms on productivity and output growth was very small. Reasons for slowdown in agricultural growth after 1984 are also analyzed. -Author"
"Hanushek E.A., Kimko D.D.",2000,American Economic Review,"Direct measures of labor-force quality from international mathematics and science test scores are strongly related to growth. Indirect specification tests are generally consistent with a causal link: direct spending on schools is unrelated to student performance differences; the estimated growth effects of improved labor-force quality hold when East Asian countries are excluded; and, finally, home-country quality differences of immigrants are directly related to U.S. earnings if the immigrants are educated in their own country but not in the United States. The last estimates of micro productivity effects, however, introduce uncertainty about the magnitude of the growth effects."
"Autor D.H., Dorn D.",2013,American Economic Review,"We offer a unified analysis of the growth of low-skill service occupations between 1980 and 2005 and the concurrent polarization of US employment and wages. We hypothesize that polarization stems from the interaction between consumer preferences, which favor variety over specialization, and the falling cost of automating routine, codifiable job tasks. Applying a spatial equilibrium model, we corroborate four implications of this hypothesis. Local labor markets that specialized in routine tasks differentially adopted information technology, reallocated low-skill labor into service occupations (employment polarization), experienced earnings growth at the tails of the distribution (wage polarization), and received inflows of skilled labor."
"Case A., Lubotsky D., Paxson C.",2002,American Economic Review,"The well-known positive association between health and income in adulthood has antecedents in childhood. Not only is children's health positively related to household income, but the relationship between household income and children's health becomes more pronounced as children age. Part of the relationship can be explained by the arrival and impact of chronic conditions. Children from lower-income households with chronic conditions have worse health than do those from higher-income households. The adverse health effects of lower income accumulate over children's lives. Part of the intergenerational transmission of socioeconomic status may work through the impact of parents' income on children's health."
"Kashyap A.K., Stein J.C.",2000,American Economic Review,"We study the monetary-transmission mechanism with a data set that includes quarterly observations of every insured U.S. commercial bank from 1976 to 1993. We find that the impact of monetary policy on lending is stronger for banks with less liquid balance sheets - i.e., banks with lower ratios of securities to assets. Moreover, this pattern is largely attributable to the smaller banks, those in the bottom 95 percent of the size distribution. Our results support the existence of a ""bank lending channel"" of monetary transmission, though they do not allow us to make precise statements about its quantitative importance."
"Bound J., Johnson G.",1992,American Economic Review,"During the 1980's, a period in which the average level of real wage rates was roughly stagnant, there were large changes in the structure of relative wages, most notably a huge increase in the relative wages of highly educated workers. This paper attempts to assess the power of several alternative explanations of the observed relative wage changes in the context of a theoretical framework that nests all of these explanations. Our conclusion is that their major cause was a shift in the skill structure of labor demand brought about by biased technological change. -Authors"
"Hellmann T.F., Murdock K.C., Stiglitz J.E.",2000,American Economic Review,"In a dynamic model of moral hazard, competition can undermine prudent bank behavior. While capital-requirement regulation can induce prudent behavior the policy yields Pareto-inefficient outcomes. Capital requirements reduce gambling incentives by putting bank equity at risk. However, they also have a perverse effect of harming banks' franchise values, thus encouraging gambling. Pareto-efficient outcomes can be achieved by adding deposit-rate controls as a regulatory instrument since they facilitate prudent investment by increasing franchise values. Even if deposit-rate ceilings are not binding on the equilibrium path they may be useful in deterring gambling off the equilibrium path."
Forbes K.J.,2000,American Economic Review,"This paper challenges the current belief that income inequality has a negative relationship with economic growth. It uses an improved data set on income inequality which not only reduces measurement error, but also allows estimation via a panel technique. Panel estimation makes it possible to control for time-invariant country-specific effects, therefore eliminating a potential source of omitted-variable bias. Results suggest that in the short and medium term, an increase in a country's level of income inequality has a significant positive relationship with subsequent economic growth. This relationship is highly robust across samples, variable definitions, and model specifications. (JEL O40, O15, E25)."
Solon G.,1992,American Economic Review,"Social scientists and policy analysts have long expressed concern about the extent of intergenerational income mobility in the US but remarkably little empirical evidence is available. The few existing estimates of the intergenerational correlation in income have been biased downward by measurement error, unrepresentative samples, or both. new estimates based on intergenerational data from the Panel Study of Income Dynamics imply that the intergenerational correlation in long-run income is at least 0.4, indicating dramatically less mobility than suggested by earlier research. -Author"
"Grossman G.M., Rossi-Hansberg E.",2008,American Economic Review,"We propose a theory of the global production process that focuses on tradeable tasks, and use it to study how falling costs of offshoring affect factor prices in the source country. We identify a productivity effect of task trade that benefits the factor whose tasks are more easily moved offshore. In the light of this effect, reductions in the cost of trading tasks can generate shared gains for all domestic factors, in contrast to the distributional conflict that typically results from reductions in the cost of trading goods."
Lael Brainard S.,1997,American Economic Review,"This paper examines the extent to which multinational location decisions reflect a trade-off between achieving proximity to customers and concentrating production to achieve scale economies. It finds that overseas production by multinationals increases relative to exports the higher are transport costs and trade barriers and the lower are investment barriers and scale economies at the plant level relative to the corporate level. However, it is not possible to reject a model with only country and industry effects. The evidence also suggests that multinational activity is more likely the more similar are the home and foreign markets -contrary to conventional wisdom. (JEL F12, F21, F23)."
Small K.A.,1982,American Economic Review,"Demonstrates that the scheduling of activities by consumers can be explicitly modeled in a theoretically satisfactory and empirically productive way. Even in the case of urban work trips, probably one of the most tightly constrained of everyday activities, schedule shifting is found to be of quantitative importance for the understanding of urban transportation systems. It seems likely that this approach can be applied productively to other goods subject to peaked demands, including electricity, telephone service, computer services, and products with seasonal demands. In short, much of economic analysis could be profitably modified to include scheduling behaviour.-from Author"
"Acemoglu D., Aghion P., Bursztyn L., Hemous D.",2012,American Economic Review,"This paper introduces endogenous and directed technical change in a growth model with environmental constraints. The final good is produced from ""dirty"" and ""clean"" inputs. We show that: (i) when inputs are sufficiently substitutable, sustainable growth can be achieved with temporary taxes/subsidies that redirect innovation toward clean inputs; (ii) optimal policy involves both ""carbon taxes"" and research subsidies, avoiding excessive use of carbon taxes; (iii) delay in intervention is costly, as it later necessitates a longer transition phase with slow growth; and (iv) use of an exhaustible resource in dirty input production helps the switch to clean innovation under laissez-faire."
"Chetty R., Looney A., Kroft K.",2009,American Economic Review,"Using two strategies, we show that consumers underreact to taxes that are not salient. First, using a field experiment in a grocery store, we find that posting tax-inclusive price tags reduces demand by 8 percent. Second, increases in taxes included in posted prices reduce alcohol consumption more than increases in taxes applied at the register. We develop a theoretical framework for applied welfare analysis that accommodates salience effects and other optimization failures. The simple formulas we derive imply that the economic incidence of a tax depends on its statutory incidence, and that even policies that induce no change in behavior can create efficiency losses. (JEL C93, D12, H25, H71)."
