Authors,Year,Source title,Abstract
"Sampson R.J., Morenoff J.D., Earls F.",1999,American Sociological Review,"We propose a theoretical framework on the structural sources and spatially embedded nature of three mechanisms that produce collective efficacy for children. Using survey data collected in 1995 from 8,782 Chicago residents, we examine variations in intergenerational closure, reciprocal local exchange, and shared expectations for informal social control across 342 neighborhoods. Adjusting for respondents' attributes, we assess the effects of neighborhood characteristics measured in the 1990 census and the role of spatial interdependence. The results show that residential stability and concentrated affluence, more so than poverty and racial/ethnic composition, predict intergenerational closure and reciprocal exchange. Concentrated disadvantage, by contrast, is associated with sharply lower expectations for shared child control. The importance of spatial dynamics in generating collective efficacy for children is highlighted--proximity to areas high in closure, exchange, and control bestows an advantage above and beyond the structural characteristics of a given neighborhood. Moreover, spatial advantages are much more likely to accrue to white neighborhoods than to black neighborhoods."
"Thornton P.H., Ocasio W.",1999,American Journal of Sociology,"This article examines the historical contingency of executive power and succession in the higher education publishing industry. We combine interview data with historical analysis to identify how institutional logics changed from an editorial to a market focus. Event history models are used to test for differences in the effects of these two institutional logics on the positional, relational, and economic determinants of executive succession. The quantitative findings indicate that a shift in logics led to different determinants of executive succession. Under an editorial logic, executive attention is directed to author-editor relationships and internal growth, and executive succession is determined by organization size and structure. Under a market logic, executive attention is directed to issues of resource competition and acquisition growth, and executive succession is determined by the product market and the market for corporate control."
Orloff A.S.,1993,American Sociological Review,This article develops a conceptual framework for analyzing the gender content of social provision that draws on feminist and mainstream work. Three dimensions of qualitative variation suggested by power resources analysts are reconstructed to incorporate gender: the state-market relations dimension is extended to consider the ways countries organize the provision of welfare through families as well as through states and markets; it is then termed the state-market-family relations dimension; the stratification dimension is expanded to consider the effects of social provision by the state on gender relations; the social citizenship rights/decommodification dimension is criticized for implicit assumptions about the sexual division of caring and domestic labor and for ignoring the differential effects on men and women of benefits that decommodify labor. Two additional dimensions are proposed to capture the effects of state social provision on gender relations: access to paid work and capacity to form and maintain an autonomous household. -from Author
Kalleberg A.L.,2009,American Sociological Review,"The growth of precarious work since the 1970s has emerged as a core contemporary concern within politics, in the media, and among researchers. Uncertain and unpredictable work contrasts with the relative security that characterized the three decades following World War II. Precarious work constitutes a global challenge that has a wide range of consequences cutting across many areas of concern to sociologists. Hence, it is increasingly important to understand the new workplace arrangements that generate precarious work and worker insecurity. A focus on employment relations forms the foundation of theories of the institutions and structures that generate precarious work and the cultural and individual factors that influence people's responses to uncertainty. Sociologists are well-positioned to explain, offer insight, and provide input into public policy about such changes and the state of contemporary employment relations."
"Peterson R.A., Kern R.M.",1996,American Sociological Review,"Appreciation of fine arts became a mark of high status in the late nineteenth century as part of an attempt to distinguish ""highbrowed"" Anglo Saxons from the new ""lowbrowed"" immigrants, whose popular entertainments were said to corrupt morals and thus were to be shunned (Levine 1988; DiMaggio 1991). In recent years, however, many high-status persons are far from being snobs and are eclectic, even ""omnivorous,"" in their tastes (Peterson and Simkus 1992). This suggests a qualitative shift in the basis for marking elite status - from snobbish exclusion to omnivorous appropriation. Using comparable 1982 and 1992 surveys, we test for this hypothesized change in tastes. We confirm that highbrows are more omnivorous than others and that they have become increasingly omnivorous over time. Regression analyses reveal that increasing ""omnivorousness "" is due both to cohort replacement and to changes over the 1980s among highbrows of all ages. We speculate that this shift from snob to omnivore relates to status-group politics influenced by changes in social structure, values, art-world dynamics, and generational conflict."
"Podolny J.M., Baron J.N.",1997,American Sociological Review,"We examine how the structure and content of individuals' networks in the workplace affect intraorganizational mobility. Consistent with prior research, we find that an individual's mobility is enhanced by having a large, sparse network of informal ties for acquiring information and resources. However, in contrast to previous work, we emphasize the importance of consistent role expectations for performance and mobility. We find evidence that well-defined performance expectations are more likely to arise from a small, dense network of individuals. We develop a typology of network contents and document the interaction between network structure and content in analyses of mobility among employees of a high-technology firm. We also examine how the effects of tie duration on mobility vary by tie content. We discuss the implications of our results for theory and research on networks and organizational mobility."
"Powell W.W., Koput K.W., White D.R., Owen-Smith J.",2005,American Journal of Sociology,"A recursive analysis of network and institutional evolution is offered to account for the decentralized structure of the commercial field of the life sciences. Four alternative logics of attachment - accumulative advantage, homophily, follow-the-trend, and multiconnectivity-are tested to explain the structure and dynamics of interorganizational collaboration in biotechnology. Using multiple novel methods, the authors demonstrate how different rules for affiliation shape network evolution. Commercialization strategies pursued by early corporate entrants are supplanted by universities, research institutes, venture capital, and small firms. As organizations increase their collaborative activities and diversify their ties to others, cohesive subnetworks form, characterized by multiple, independent pathways. These structural components, in turn, condition the choices and opportunities available to members of a field, thereby reinforcing an attachment logic based on differential connections to diverse partners. © 2005 by The University of Chicago. All rights reserved."
Burawoy M.,2005,American Sociological Review,"Responding to the growing gap between the sociological ethos and the world we study, the challenge of public sociology is to engage multiple publics in multiple ways. These public sociologies should not be left out in the cold, but brought into the framework of our discipline. In this way we make public sociology a visible and legitimate enterprise, and, thereby, invigorate the discipline as a whole. Accordingly, if we map out the division of sociological labor, we discover antagonistic interdependence among four types of knowledge: professional, critical, policy, and public. In the best of all worlds the flourishing of each type of sociology is a condition for the flourishing of all, but they can just as easily assume pathological forms or become victims of exclusion and subordination. This field of power beckons us to explore the relations among the four types of sociology as they vary historically and nationally, and as they provide the template for divergent individual careers. Finally, comparing disciplines points to the umbilical chord that connects sociology to the world of publics, underlining sociology's particular investment in the defense of civil society, itself beleaguered by the encroachment of markets and states."
"White H.C., Boorman S.A., Breiger R.L.",1976,American Journal of Sociology,"Networks of several distinct types of social tie are aggregated by a dual model that partitions a population while simultaneously identifying patterns of relations. Concepts and algorithms are demonstrated in five case studies involving up to 100 persons and up to eight types of tie, over as many as 15 time periods. In each case the model identifies a concrete social structure. Role and position concepts are then identified and interpreted in terms of these new models of concrete social structure. Part II, to be published in the May issue of this Journal (Boorman and White 1976), will show how the operational meaning of role structures in small populations can be generated from the sociometric blockmodels of Part I. © 1999 JSTOR"
Uzzi B.,1999,American Sociological Review,"I investigate how social embeddedness affects an organization's acquisition and cost of financial capital in middle-market banking-a lucrative but understudied financial sector. Using existing theory and original fieldwork, I develop a framework to explain how embeddedness can influence which firms get capital and at what cost. I then statistically examine my claims using national data on small-business lending. At the level of dyadic ties, I find that firms that embed their commercial transactions with their lender in social attachments receive lower interest rates on loans. At the network level, firms are more likely to get loans and to receive lower interest rates on loans if their network of bank ties has a mix of embedded ties and arm's-length ties. These network effects arise because embedded ties motivate network partners to share private resources, while arm's-length ties facilitate access to public information on market prices and loan opportunities so that the benefits of different types of ties are optimized within one network. I conclude with a discussion of how the value produced by a network is at a premium when it creates a bridge that links the public information of markets with the private resources of relationships."
"Korpi W., Palme J.",1998,American Sociological Review,"Debates on how to reduce poverty and inequality have focused on two controversial questions: Should social policies be targeted to low-income groups or be universal? Should benefits be equal for all or earnings-related? Traditional arguments in favor of targeting and flat-rate benefits, focusing on the distribution of the money actually transferred, neglect three policy-relevant considerations: (1) The size of redistributive budgets is not fixed but reflects the structure of welfare state institutions. (2) A trade-off exists between the degree of low-income targeting and the size of redistributive budgets. (3) Outcomes of market-based distribution are often more unequal than those of earnings-related social insurance programs. We argue that social insurance institutions are of central importance for redistributive outcomes. Using new data, our comparative analyses of the effects of different institutional types of welfare states on poverty and inequality indicate that institutional differences lead to unexpected outcomes and generate the paradox of redistribution: The more we target benefits at the poor and the more concerned we are with creating equality via equal public transfers to all, the less likely we are to reduce poverty and inequality."
"Giordano P.C., Cernkovich S.A., Rudolph J.L.",2002,American Journal of Sociology,"This article analyzes data derived from the first detailed long-term follow-up of a sample of serious adolescent female delinquents and similarly situated males. Neither marital attachment nor job stability, factors frequently associated with male desistance from crime, were strongly related to female or male desistance. A symbolic-interactionist perspective on desistance is developed as a counterpoint to Sampson and Laub's theory of informal social control, and life history narratives are used to illustrate the perspective. This cognitive theory is generally compatible with a control approach but (a) adds specificity regarding underlying change mechanisms, (b) explains some negative cases, and (c) fits well with life course challenges facing contemporary serious female (and more provisionally male) offenders."
Zuckerman E.W.,1999,American Journal of Sociology,"This article explores the social processes that produce penalties for illegitimate role performance. It is proposed that such penalties are illuminated in markets that are significantly mediated by product critics. In particular, it is argued that failure to gain reviews by the critics who specialize in a product's intended category reflects confusion over the product's identity and that such illegitimacy should depress demand. The validity of this assertion is tested among public American firms in the stock market over the years 1985-94. It is shown that the stock price of an American firm was discounted to the extent that the firm was not covered by the securities analysts who specialized in its industries. This analysis holds implications for the study of role conformity in both market and nonmarket settings and adds sociological insight to the recent ""behavioral"" critique of the prevailing ""efficient-market"" perspective on capital markets."
"Ross C.E., Chia-Ling Wu",1995,American Sociological Review,"The positive association between education and health is well established, but explanations for this association are not. Explanations fall into three categories: work and economic conditions, social-psychological resources, and health lifestyle. The authors replicate analyses with two US samples, cross-sectionally and over time, using two health measures (self-reported health and physical functioning). Results demonstrate a positive association between education and health and help explain why the association exists. Full-time work, fulfilling work, high income, and low economic hardship in turn significantly improve health in all analyses. The well educated report a greater sense of control over their lives and their health, and they have higher levels of social support. The sense of control, and to a lesser extent support, are associated with good health. High educational attainment improves health directly, and it improves health indirectly through work and economic conditions, social-psychological resources, and health lifestyle. -from Authors"
"McPherson M., Smith-Lovin L., Brashears M.E.",2006,American Sociological Review,"Have the core discussion networks of Americans changed in the past two decades? In 1985, the General Social Survey (GSS) collected the first nationally representative data on the confidants with whom Americans discuss important matters. In the 2004 GSS the authors replicated those questions to assess social change in core network structures. Discussion networks are smaller in 2004 than in 1985. The number of people saying there is no one with whom they discuss important matters nearly tripled. The mean network size decreases by about a third (one confidant), from 2.94 in 1985 to 2.08 in 2004. The modal respondent now reports having no confidant; the modal respondent in 1985 had three confidants. Both kin and non-kin confidants were lost in the past two decades, but the greater decrease of non-kin ties leads to more confidant networks centered on spouses and parents, with fewer contacts through voluntary associations and neighborhoods. Most people have densely interconnected confidants similar to them. Some changes reflect the changing demographics of the U.S. population. Educational heterogeneity of social ties has decreased, racial heterogeneity has increased. The data may overestimate the number of social isolates, but these shrinking networks reflect an important social change in America."
Bonilla-Silva E.,1997,American Sociological Review,"The study of race and ethnic conflict historically has been hampered by inadequate and simplistic theories. I contend that the central problem of the various approaches to the study of racial phenomena is their lack of a structural theory of racism. I review traditional approaches and alternative approaches to the study of racism, and discuss their limitations. Following the leads suggested by some of the alternative frameworks, I advance a structural theory of racism based on the notion of racialized social systems."
"Correll S.J., Benard S., Paik I.",2007,American Journal of Sociology,"Survey research finds that mothers suffer a substantial wage penalty, although the causal mechanism producing it remains elusive. The authors employed a laboratory experiment to evaluate the hypothesis that status-based discrimination plays an important role and an audit study of actual employers to assess its real-world implications. In both studies, participants evaluated application materials for a pair of same-gender equally qualified job candidates who differed on parental status. The laboratory experiment found that mothers were penalized on a host of measures, including perceived competence and recommended starting salary. Men were not penalized for, and sometimes benefited from, being a parent. The audit study showed that actual employers discriminate against mothers, but not against fathers. © 2007 by The University of Chicago. All rights reserved."
"Budig M.J., England P.",2001,American Sociological Review,"Motherhood is associated with lower hourly pay, but the causes of this are not well understood. Mothers may earn less than other women because having children causes them to (1) lose job experience, (2) be less productive at work, (3) trade off higher wages for mother-friendly jobs, or (4) be discriminated against by employers. Or the relationship may be spurious rather than causal-women with lower earning potential may have children at relatively higher rates. The authors use data from the 1982-1993 National Longitudinal Survey of Youth with fixed-effects models to examine the wage penalty for motherhood. Results show a wage penalty of 7 percent per child. Penalties are larger for married women than for unmarried women. Women with (more) children have fewer years of job experience, and after controlling for experience a penalty of 5 percent per child remains. ""Mother-friendly"" characteristics of the jobs held by mothers explain little of the penalty beyond the tendency of more mothers than non-mothers to work part-time. The portion of the motherhood penalty unexplained probably results from the effect of motherhood on productivity and/or from discrimination by employers against mothers. While the benefits of mothering diffuse widely-to the employers, neighbors, friends, spouses, and children of the adults who received the mothering-the costs of child rearing are borne disproportionately by mothers."
Fligstein N.,1996,American Sociological Review,"I use the metaphor markets as politics to create a sociological view of action in markets. I develop a conceptual view of the social institutions that comprise markets, discuss a sociological model of action in which market participants try to create stable worlds and find social solutions to competition, and discuss how markets and states are intimately linked. From these foundations, I generate propositions about how politics in markets work during various stages of market development - formation, stability, and transformation. At the formation of markets, when actors in firms are trying to create a status hierarchy that enforces noncompetitive forms of competition, political action resembles social movements. In stable markets, incumbent firms defend their positions against challengers and invaders. During periods of market transformation, invaders can reintroduce more fluid social-movement-like conditions."
"Clarke A.E., Mamo L., Fishman J.R., Shim J.K., Fosket J.R.",2003,American Sociological Review,"The first social transformation of American medicine institutionally established medicine by the end World War II. In the next decades, medicalization-the expansion of medical jurisdiction, authority, and practices into new realms-became widespread. Since about 1985, dramatic changes in both the organization and practices of contemporary biomedicine, implemented largely through the integration of technoscientific innovations, have been coalescing into what the authors call biomedicalization, a second ""transformation"" of American medicine. Biomedicalization describes the increasingly complex, multisited, multidirectional processes of medicalization, both extended and reconstituted through the new social forms of highly technoscientific biomedicine. The historical shift from medicalization to biomedicalization is one from control over biomedical phenomena to transformations of them. Five key interactive processes both engender biomedicalization and are produced through it: (1) the political economic reconstitution of the vast sector of biomedicine; (2) the focus on health itself and the elaboration of risk and surveillance biomedicines; (3) the increasingly technological and scientific nature of biomedicine; (4) transformations in how biomedical knowledges are produced, distributed, and consumed, and in medical information management; and (5) transformations of bodies to include new properties and the production of new individual and collective technoscientific identities."
"Osgood D.W., Wilson J.K., O'Malley P.M., Bachman J.G., Johnston L.D.",1996,American Sociological Review,"We extend the routine activity perspective's situational analysis of crime to individual offending and to a broad range of deviant behaviors. In this view, unstructured socializing with peers in the absence of authority figures presents opportunities for deviance: In the presence of peers, deviant acts will be easier and more rewarding; the absence of authority figures reduces the potential for social control responses to deviance; and the lack of structure leaves time available for deviant behavior. To determine whether individuals who spend more time in unstructured socializing activities engage in deviant behaviors more frequently, we analyzed within-individual changes in routine activities and deviance across five waves of data for a national sample of more than 1,700 18- to 26-year-olds. Participation in these routine activities was strongly associated with criminal behavior, heavy alcohol use, use of marijuana and other illicit drugs, and dangerous driving. Furthermore, routine activities accounted for a substantial portion of the association between these deviant behaviors and age, sex, and socioeconomic status."
"Espeland W.N., Sauder M.",2007,American Journal of Sociology,"Recently, there has been a proliferation of measures responding to demands for accountability and transparency. Using the example of media rankings of law schools, this article argues that the methodological concept of reactivity - the idea that people change their behavior in reaction to being evaluated, observed, or measured- offers a useful lens for disclosing how these measures effect change. A framework is proposed for investigating the consequences, both intended and unintended, of public measures. The article first identifies two mechanisms, self-fulfilling prophecy and commensuration, that induce reactivity and then distinguishes patterns of effects produced by reactivity. This approach demonstrates how these increasingly fateful public measures change expectations and permeate institutions, suggesting why it is important for scholars to investigate the impact of these measures more systematically. © 2007 by The University of Chicago. All rights reserved."
"Kalev A., Dobbin F., Kelly E.",2006,American Sociological Review,"Employers have experimented with three broad approaches to promoting diversity. Some programs are designed to establish organizational responsibility for diversity, others to moderate managerial bias through training and feedback, and still others to reduce the social isolation of women and minority workers. These approaches find support in academic theories of how organizations achieve goals, how stereotyping shapes hiring and promotion, and how networks influence careers. This is the first systematic analysis of their efficacy. The analyses rely on federal data describing the workforces of 708 private sector establishments from 1971 to 2002, coupled with survey data on their employment practices. Efforts to moderate managerial bias through diversity training and diversity evaluations are least effective at increasing the share of white women, black women, and black men in management. Efforts to attack social isolation through mentoring and networking show modest effects. Efforts to establish responsibility for diversity lead to the broadest increases in managerial diversity. Moreover, organizations that establish responsibility see better effects from diversity training and evaluations, networking, and mentoring. Employers subject to federal affirmative action edicts, who typically assign responsibility for compliance to a manager, also see stronger effects from some programs. This work lays the foundation for an institutional theory of the remediation of workplace inequality."
"Uzzi B., Spiro J.",2005,American Journal of Sociology,"Small world networks have received disproportionate notice in diverse fields because of their suspected effect on system dynamics. The authors analyzed the small world network of the creative artists who made Broadway musicals from 1945 to 1989. Using original arguments, new statistical methods, and tests of construct validity, they found that the varying ""small world"" properties of the systemic-level network of these artists affected their creativity in terms of the financial and artistic performance of the musicals they produced. The small world network effect was parabolic; performance increased up to a threshold, after which point the positive effects reversed. © 2005 by The University of Chicago. All rights reserved."
"Sorenson O., Stuart T.E.",2001,American Journal of Sociology,"Sociological investigations of economic exchange reveal how institutions and social structures shape transaction patterns among economic actors. This article explores how interfirm networks in the U.S. venture capital (VC) market affect spatial patterns of exchange. Evidence suggests that information about potential investment opportunities generally circulates within geographic and industry spaces. In turn, the circumscribed flow of information within these spaces contributes to the geographic-and industry-localization of VC investments. Empirical analyses demonstrate that the social networks in the VC community - built up through the industry's extensive use of syndicated investing - diffuse information across boundaries and therefore expand the spatial radius of exchange. Venture capitalists that build axial positions in the industry's coinvestment network invest more frequently in spatially distant companies. Thus, variation in actors' positioning within the structure of the market appears to differentiate market participants' ability to overcome boundaries that otherwise would curtail exchange."
"Duncan G.J., Brooks-Gunn J., Jean Yeung W., Smith J.R.",1998,American Sociological Review,"Why parental socioeconomic status correlates strongly with various measures of child and adult achievement is an important and controversial research question. After summarizing findings from recent contributions to this literature, we conduct two sets of analyses using data from the US Panel Study of Income Dynamics. Completed schooling and nonmarital childbearing are related to parental income during early and middle childhood, as well as during adolescence. These analyses suggest that family economic conditions in early childhood have the greatest impact on achievement, especially among children in families with low incomes. Estimates from sibling models support the hypothesis that economic conditions in early childhood are important determinants of completed schooling."
Edelman L.B.,1992,American Journal of Sociology,"Laws that regulate the employment relation tend to set forth broad and often ambiguous principles that give organizations wide latitude to construct the meaning of compliance in a way that responds to both environmental demands and managerial interests. Organizations respond initially by elaborating their formal structures to create visible symbols of compliance. As organizations construct and institutionalize forms of compliance with laws, they mediate the impact of those laws on society. The author uses data from a nationwide survey of 346 organizations to develop models of the creation and institutionalization of organizationally constructed symbols of compliance following the 1964 Civil Rights Act. © 1992 by The University of Chicago. All rights reserved."
Paxton P.,1999,American Journal of Sociology,"Despite a great deal of interest in a possible decline of social capital in the United States, scholars have not reached a consensus on the trend. This article improves upon previous research by providing a model of social capital that has explicit links to theories of social capital and that analyzes multiple indicators of social capital over a 20-year period. The results do not consistently support Putnam's claim of a decline in social capital, showing instead some decline in a general measure of social capital, a decline in trust in individuals, no general decline in trust in institutions, and no decline in associations."
Berk R.A.,1983,American Sociological Review,"With few exceptions, recent developments on the nature of sampling bias have not filtered into sociological practice. Undertakes a brief review of recent advances in the diagnosis of and corrections for 'sample selection bias'.-Author"
"Pettit B., Western B.",2004,American Sociological Review,"Although growth in the U.S. prison population over the past twenty-five years has been widely discussed, few studies examine changes in inequality in imprisonment. We study penal inequality by estimating lifetime risks of imprisonment for black and white men at different levels of education. Combining administrative, survey, and census data, we estimate that among men born between 1965 and 1969, 3 percent of whites and 20 percent of blacks had served time in prison by their early thirties. The risks of incarceration are highly stratified by education. Among black men born during this period, 30 percent of those without college education and nearly 60 percent of high school dropouts went to prison by 1999. The novel pervasiveness of imprisonment indicates the emergence of incarceration as a new stage in the life course of young low-skill black men."
"Rao H., Monin P., Durand R.",2003,American Journal of Sociology,"A challenge facing cultural-frame institutionalism is to explain how existing institutional logics and role identities are replaced by new logics and role identities. This article depicts identity movements that strive to expand individual autonomy as motors of institutional change. It proposes that the sociopolitical legitimacy of activists, extent of theorization of new roles, prior defections by peers to the new logic, and gains to prior defectors act as identity-discrepant cues that induce actors to abandon traditional logics and role identities for new logics and role identities. A study of how the nouvelle cuisine movement in France led elite chefs to abandon classical cuisine during the period starting from 1970 and ending in 1997 provides wide-ranging support for these arguments. Implications for research on institutional change, social movements, and social identity are outlined."
"Bobo L., Hutchings V.L.",1996,American Sociological Review,"Perceptions of threat occupy a central place in race relations in Blumer's theory of prejudice but few direct efforts to study such perceptions exist. Extending Blumer's reasoning, we hypothesize that such perceptions are driven by a group's feelings of racial alienation within the larger social order. The more that members of a particular racial group feel collectively oppressed and unfairly treated by society, the more likely they are to perceive members of other groups as potential threats. We also examine whether such perceptions spring from simple self-interest, orthodox prejudice such as negative feelings and stereotyping, or broad beliefs about social stratification and inequality. We use data from the 1992 Los Angeles County Social Survey, a large multiracial sample of the general population, to analyze the distribution and social and psychological underpinnings of perceived group competition. Our results support the racial alienation hypothesis as well as the hypotheses positing effects for self-interest, prejudice, and stratification beliefs. We argue that Blumer's group-position framework offers the most parsimonious integration and interpretation of the social psychological processes involved in the formation of perceptions of group threat and competition."
Watts D.J.,1999,American Journal of Sociology,"The small-world phenomenon formalized in this article as the coincidence of high local clustering and short global separation, is shown to be a general feature of sparse, decentralized networks that are neither completely ordered nor completely random. Networks of this kind have received little attention, yet they appear to be widespread in the social and natural sciences, as is indicated here by three distinct examples. Furthermore, small admixtures of randomness to an otherwise ordered network can have a dramatic impact on its dynamical, as well as structural, properties - a feature illustrated by a simple model of disease transmission."
Podolny J.M.,2001,American Journal of Sociology,"This article draws an analytical distinction between two types of market uncertainty: egocentric, which refers to a focal actor's uncertainty regarding the best way to convert a set of inputs to an output desired by a potential exchange partner, and altercentric, which denotes the uncertainty confronted by a focal actor's exchange partners regarding the quality of the output that the focal actor brings to the market. Given this distinction, the article considers how the value of ""structural holes"" and market status vary with these two types of uncertainty. The article proposes that the value of structural holes increases with egocentric uncertainty, but not with altercentric uncertainty. In contrast, the value of status increases with altercentric uncertainty, but declines with egocentric uncertainty. Thus actors with networks rich in structural holes should sort into markets or market segments that are high in egocentric uncertainty; high-status actors should sort into markets that are low in egocentric uncertainty. Support for this claim is found in an examination of the venture capital markets."
